study_key,pmid,doi,year,journal,title,study_design,method_family,evaluation,failure_modes,field_strength,field_strength_evidence,pulse_sequences,reference_standard,public_dataset_or_benchmark,code_available,full_text_basis,source_record
S098,,10.1109/tbme.2023.3300090,2024,IEEE Transactions on Biomedical Engineering,Quantitative MR Image Reconstruction Using Parameter-Specific Dictionary Learning With Adaptive Dictionary-Size and Sparsity-Level Choice,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Compressed sensing / parallel imaging;Self-supervised / unsupervised,Pixel-wise metrics (PSNR/SSIM/NRMSE),,7T,data as well as in-vivo brain images acquired on an ultra-high field 7 T scanner. We compared it to a model-based acceleration for parameter m,T1w,Not stated,,not stated,full text,2024 - Quantitative MR Image Reconstruction Using Parameter-Specific Dictionary Learning With Adaptive Dictionary-Size and Spar - IEEEXPLORE 10209588.md
S099,39349147,10.1016/j.neuroimage.2024.120865,2024,NeuroImage,Quantitative evaluation of Scout Accelerated Motion Estimation and Reduction (SAMER) MPRAGE for morphometric analysis of brain tissue in patients undergoing evaluation for memory loss,Algorithmic / methodological reconstruction study,Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,not reported,,T1w,Not stated,,not stated,abstract + MeSH only,2024 - Quantitative evaluation of Scout Accelerated Motion Estimation and Reduction (SAMER) MPRAGE for morphometric analysis of - PMID 39349147.md
S100,38102776,10.1002/mrm.29969,2024,Magnetic resonance in medicine,Self-calibrated subspace reconstruction for multidimensional MR fingerprinting for simultaneous relaxation and diffusion quantification,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,Uncertainty estimation,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,3T,"encoding). In the feasibility experiment, Subject 1 was scanned on a 3T MAGNETOM Prisma scanner (Siemens Healthineers, Erlangen, Germany) eq",DWI,Fully sampled acquisition,,not stated,full text,2024 - Self-calibrated subspace reconstruction for multidimensional MR fingerprinting for simultaneous relaxation and diffusion - PMID 38102776.md
S101,38626138,10.1371/journal.pone.0301132,2024,PloS one,Simulating rigid head motion artifacts on brain magnitude MRI data-Outcome on image quality and segmentation of the cerebral cortex,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging;Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,3T,were performed on the publicly available MR-ART dataset consisting of 3T MPRAGE defaced NIfTI image volumes at 1 mm3 isotropic resolution of 1,T1w,Not stated,ADNI;UK Biobank;UK biobank,yes,full text,2024 - Simulating rigid head motion artifacts on brain magnitude MRI data-Outcome on image quality and segmentation of the cere - PMID 38626138.md
S102,38758490,10.1007/s10334-024-01161-y,2024,"Magma (New York, N.Y.)",Towards retrospective motion correction and reconstruction for clinical 3D brain MRI protocols with a reference contrast,Algorithmic / methodological reconstruction study,Motion correction,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,1.5T,METHODS: We focus on various existing clinical 3D brain protocols at 1.5 Tesla MRI based on Cartesian sampling. Controlled experiments with three he,T1w;T2w;FLAIR,Stated ground truth (unspecified),,not stated,full text,2024 - Towards retrospective motion correction and reconstruction for clinical 3D brain MRI protocols with a reference contrast - PMID 38758490.md
S103,38376403,10.1148/radiol.231938,2024,Radiology,Ultrafast Brain MRI with Deep Learning Reconstruction for Suspected Acute Ischemic Stroke,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),,,3T,"ers using a 20-channel head/neck coil and a 64-channel head coil on 3T systems (MAGNETOM Prisma and Vida, Siemens Healthcare, Erlangen, Ger",T1w;T2w;FLAIR;DWI;SWI,Expert reader consensus,fastMRI,not stated,full text,2024 - Ultrafast Brain MRI with Deep Learning Reconstruction for Suspected Acute Ischemic Stroke. - PMID 38376403.md
S104,38282270,10.1002/mrm.30018,2024,Magnetic resonance in medicine,Zero-DeepSub: Zero-shot deep subspace reconstruction for rapid multiparametric quantitative MRI using 3D-QALAS,Algorithmic / methodological reconstruction study,,,Artifacts (aliasing/ghosting/Gibbs);Hallucination / fidelity / instability;Robustness / distribution shift,3T,"e conducted on an ISMRM/NIST system phantom (Serial Number 136) on a 3T MAGNETOM Prisma scanner (Siemens Healthineers, Erlangen, Germany) wi",T1w;T2w;FLAIR;SWI,Fully sampled acquisition,,yes,full text,2024 - Zero-DeepSub Zero-shot deep subspace reconstruction for rapid multiparametric quantitative MRI using 3D-QALAS. - PMID 38282270.md
S105,40035173,10.1002/mrm.30436,2025,Magnetic resonance in medicine,"3D MERMAID: 3D Multi-shot enhanced recovery motion artifact insensitive diffusion for submillimeter, multi-shell, and SNR-efficient diffusion imaging",Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Compressed sensing / parallel imaging,,Motion degradation,3T,tigated using Bloch simulations as well as phantom and human scans at 3 T and then compared to a typical multi-slice 2D spin-echo sequence. RE,,Not stated,,not stated,abstract + MeSH only,"2025 - 3D MERMAID 3D Multi-shot enhanced recovery motion artifact insensitive diffusion for submillimeter, multi-shell, and SNR - PMID 40035173.md"
S106,,10.1038/s41598-025-17993-0,2025,Scientific Reports,A multinational study of deep learning-based image enhancement for multiparametric glioma MRI,Diagnostic accuracy / reader study,Motion correction,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,"MRI protocol MRI examinations were performed on 21 different 1.5T and 3.0T systems from major MR scanner vendors (GE, Philips, and Siemens). Th",T1w;T2w;FLAIR;DWI;SWI,Fully sampled acquisition,,not stated,full text,2025 - A multinational study of deep learning-based image enhancement for multiparametric glioma MRI - SPRINGER 10.1038_s41598-025-17993-0.md
S107,41395855,10.1002/mp.70197,2025,Medical physics,A physics-informed deep learning model for MRI brain motion correction,Diagnostic accuracy / reader study,Physics-based / unrolled;Generative (GAN/diffusion/VAE);Compressed sensing / parallel imaging;Motion correction,Pixel-wise metrics (PSNR/SSIM/NRMSE);Perceptual / learned metrics;Observer / reader study;Uncertainty estimation,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Hallucination / fidelity / instability;Robustness / distribution shift,not reported,,T1w;FLAIR,Stated ground truth (unspecified),IXI;ixi,yes,full text,2025 - A physics-informed deep learning model for MRI brain motion correction. - PMID 41395855.md
S108,39887515,10.1002/mrm.30439,2025,Magnetic resonance in medicine,A straightforward approach for 3D single-shot arterial spin labeling-based brain perfusion imaging: Preventing artifacts due to signal fluctuations,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs),3T,"Section 2). In Vivo Experiments Human experiments were performed on a 3T scanner (Achieva dStream; Philips Healthcare, Best, The Netherlands)",,Fully sampled acquisition,,not stated,full text,2025 - A straightforward approach for 3D single-shot arterial spin labeling-based brain perfusion imaging Preventing artifacts - PMID 39887515.md
S109,39316286,10.1007/s11604-024-01666-5,2025,Japanese journal of radiology,Accelerating FLAIR imaging via deep learning reconstruction: potential for evaluating white matter hyperintensities,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging,Pixel-wise metrics (PSNR/SSIM/NRMSE);Observer / reader study,,3T,w FLAIR data. MRI image acquisition All patients were scanned using a 3-T MRI scanner with a 32-channel head coil (FUJIFILM Healthcare Corpora,T1w;T2w;FLAIR,Fully sampled acquisition,,not stated,full text,2025 - Accelerating FLAIR imaging via deep learning reconstruction potential for evaluating white matter hyperintensities. - PMID 39316286.md
S110,40596927,10.1186/s12880-025-01763-5,2025,BMC medical imaging,Accelerating brain T2-weighted imaging using artificial intelligence-assisted compressed sensing combined with deep learning-based reconstruction: a feasibility study at 5.0T MRI,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging;Motion correction,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,"ming its effectiveness in shortening scan durations by up to 71% at a 3.0T MRI [9]. Concurrently, deep learning-based reconstruction (DLR) techn",T2w;FLAIR,Fully sampled acquisition,,not stated,full text,2025 - Accelerating brain T2-weighted imaging using artificial intelligence-assisted compressed sensing combined with deep lear - PMID 40596927.md
S111,40493331,10.1007/s10334-025-01266-y,2025,"Magma (New York, N.Y.)",Agreement of image quality metrics with radiological evaluation in the presence of motion artifacts,Diagnostic accuracy / reader study,Motion correction,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,3T,"e uncorrected images remain available. Both datasets were acquired on 3 T Prisma MRI scan- ners (Siemens Healthineers, Erlangen, Germany). Furt",T1w;FLAIR,Stated ground truth (unspecified),UK biobank;fastMRI,not stated,full text,2025 - Agreement of image quality metrics with radiological evaluation in the presence of motion artifacts. - PMID 40493331.md
S112,39832954,10.3174/ajnr.a8662,2025,AJNR. American journal of neuroradiology,Application of Deep Learning Accelerated Image Reconstruction in T2-Weighted Turbo Spin-Echo Imaging of the Brain at 7T,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,7T,Reconstruction in T2-Weighted Turbo Spin-Echo Imaging of the Brain at 7T. Prolonged imaging times and motion sensitivity at 7T necessitate adv,T1w;T2w,Stated ground truth (unspecified),,not stated,full text,2025 - Application of Deep Learning Accelerated Image Reconstruction in T2-Weighted Turbo Spin-Echo Imaging of the Brain at 7T. - PMID 39832954.md
S113,40257058,10.1177/03000605251330578,2025,The Journal of international medical research,Artificial intelligence-powered four-fold upscaling of human brain synthetic metabolite maps,Algorithmic / methodological reconstruction study,Super-resolution,Perceptual / learned metrics,Hallucination / fidelity / instability,not reported,,,Conventional/standard-of-care acquisition,,not stated,abstract + MeSH only,2025 - Artificial intelligence-powered four-fold upscaling of human brain synthetic metabolite maps. - PMID 40257058.md
S114,,10.1109/isbi60581.2025.10981000,2025,2025 IEEE 22nd International Symposium on Biomedical Imaging (ISBI),Assessing the Use of Diffusion Models for Motion Artifact Correction in Brain MRI,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Generative (GAN/diffusion/VAE);Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Hallucination / fidelity / instability,not reported,,,Stated ground truth (unspecified),,not stated,full text,2025 - Assessing the Use of Diffusion Models for Motion Artifact Correction in Brain MRI - IEEEXPLORE 10981000.md
S115,40315626,10.1016/j.ejrad.2025.112123,2025,European journal of radiology,"Assessment of AI-accelerated T2-weighted brain MRI, based on clinical ratings and image quality evaluation",Diagnostic accuracy / reader study,,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),3T,logical conditions underwent both T2(DR) and T2(CN) on a Siemens Vida 3 T scanner with a 64-channel head coil in the same examination. Acquisit,T2w,Expert reader consensus,,not stated,abstract + MeSH only,"2025 - Assessment of AI-accelerated T2-weighted brain MRI, based on clinical ratings and image quality evaluation. - PMID 40315626.md"
S116,39080159,10.1007/s10278-024-01171-1,2025,Journal of imaging informatics in medicine,AutoCorNN: An Unsupervised Physics-Aware Deep Learning Model for Geometric Distortion Correction of Brain MRI Images Towards MR-Only Stereotactic Radiosurgery,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging;Self-supervised / unsupervised,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Geometric / anatomical distortion,3T,"e resolution of 1 mm isotropic and a bandwidth of 240 [ Hz px ] on a 3 Tesla scanner (MAGNETOM Verio, Siemens Healthcare GmbH, Erlangen, Germany)",T1w;T2w,Stated ground truth (unspecified),HCP,not stated,full text,2025 - AutoCorNN An Unsupervised Physics-Aware Deep Learning Model for Geometric Distortion Correction of Brain MRI Images Towa - PMID 39080159.md
S117,39566835,10.1016/j.mri.2024.110277,2025,Magnetic resonance imaging,Blip-up blip-down circular EPI (BUDA-cEPI) for distortion-free dMRI with rapid unrolled deep learning reconstruction,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Generative (GAN/diffusion/VAE),,,not reported,,,Not stated,,not stated,abstract + MeSH only,2025 - Blip-up blip-down circular EPI (BUDA-cEPI) for distortion-free dMRI with rapid unrolled deep learning reconstruction. - PMID 39566835.md
S118,40912664,10.1016/j.neuroimage.2025.121442,2025,NeuroImage,Conditional deep generative normative modeling for structural and developmental anomaly detection in the fetal brain,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),,Hallucination / fidelity / instability;Robustness / distribution shift,3T,"ataset. We collected T2-weighted fetal brain MRIs acquired on Siemens 3T Skyra scanners with 1 mm in-plane resolution, a field of view (FOV)",T2w,Expert reader consensus,Human Connectome,yes,full text,2025 - Conditional deep generative normative modeling for structural and developmental anomaly detection in the fetal brain. - PMID 40912664.md
S119,40273728,10.1016/j.media.2025.103579,2025,Medical image analysis,Cycle-conditional diffusion model for noise correction of diffusion-weighted images using unpaired data,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Denoising,,Motion degradation;Hallucination / fidelity / instability;Robustness / distribution shift,3T,view Board (NHG DSRB). The brain imaging data were collected using a 3T Siemens Skyra scanner at KK Women’s and Children’s Hospital in Singa,T1w;DWI,Stated ground truth (unspecified),,not stated,full text,2025 - Cycle-conditional diffusion model for noise correction of diffusion-weighted images using unpaired data. - PMID 40273728.md
S120,39038956,10.3174/ajnr.a8424,2025,AJNR. American journal of neuroradiology,DANTE-CAIPI Accelerated Contrast-Enhanced 3D T1: Deep Learning-Based Image Quality Improvement for Vessel Wall MRI,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Denoising,,Artifacts (aliasing/ghosting/Gibbs),7T,ostriate artery morphology associated with subcortical infarctions at 7T MRI. J Magn Reson Imaging 2024; 59:1045–55 CrossRef Medline 16. Mossa,T1w;FLAIR,Expert reader consensus,,not stated,full text,2025 - DANTE-CAIPI Accelerated Contrast-Enhanced 3D T1 Deep Learning-Based Image Quality Improvement for Vessel Wall MRI. - PMID 39038956.md
S121,,10.1109/access.2025.3634749,2025,IEEE Access,DIMA: DIffusing Motion Artifacts for Unsupervised Correction in Brain MRI Images,Diagnostic accuracy / reader study,Generative (GAN/diffusion/VAE);Compressed sensing / parallel imaging;Self-supervised / unsupervised;Motion correction,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,not reported,,,Stated ground truth (unspecified),,not stated,full text,2025 - DIMA DIffusing Motion Artifacts for Unsupervised Correction in Brain MRI Images - IEEEXPLORE 11258621.md
S122,39212832,10.1007/s10334-024-01200-8,2025,"Magma (New York, N.Y.)",Deep learning for efficient reconstruction of highly accelerated 3D FLAIR MRI in neurological deficits,Diagnostic accuracy / reader study,Physics-based / unrolled;Compressed sensing / parallel imaging;Denoising,Pixel-wise metrics (PSNR/SSIM/NRMSE);Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),3T,e obtained from a cohort of 62 patients with neurological deficits on 3 T MRI. Images were reconstructed offline via CS and the CIRIM. Image qu,T1w;FLAIR;DWI,Fully sampled acquisition,FastMRI;fastMRI,yes,full text,2025 - Deep learning for efficient reconstruction of highly accelerated 3D FLAIR MRI in neurological deficits. - PMID 39212832.md
S123,,10.1007/s10916-025-02300-1,2025,Journal of Medical Systems,Diffusion Models for Neuroimaging Data Augmentation: Assessing Realism and Clinical Relevance,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Denoising,,Hallucination / fidelity / instability,not reported,,T1w;FLAIR,Expert reader consensus,ADNI;OASIS;Oasis;oasis,not stated,full text,2025 - Diffusion Models for Neuroimaging Data Augmentation Assessing Realism and Clinical Relevance - SPRINGER 10.1007_s10916-025-02300-1.md
S124,40065646,10.1002/mrm.30482,2025,Magnetic resonance in medicine,Elastographic magnetization prepared imaging with rapid encoding,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,"EMPIREscans, described below. All imaging was performed on a Siemens 3T Prisma MRI scanner with 64-channel head/ neck receive coil (Siemens H",DWI;SWI,Fully sampled acquisition,,not stated,full text,2025 - Elastographic magnetization prepared imaging with rapid encoding. - PMID 40065646.md
S125,39898398,10.3348/kjr.2024.0701,2025,Korean journal of radiology,Evaluation of Image Quality and Scan Time Efficiency in Accelerated 3D T1-Weighted Pediatric Brain MRI Using Deep Learning-Based Reconstruction,Diagnostic accuracy / reader study,,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),3T,"accelerated, pre- and post-contrast, 3D T1-weighted brain MRI using a 3T scanner (SIGNA Premier; GE HealthCare) at a single tertiary referral",T1w;T2w;FLAIR,Fully sampled acquisition,fastMRI,not stated,full text,2025 - Evaluation of Image Quality and Scan Time Efficiency in Accelerated 3D T1-Weighted Pediatric Brain MRI Using Deep Learni - PMID 39898398.md
S126,39690114,10.1002/jmri.29672,2025,Journal of magnetic resonance imaging : JMRI,Incorporating Radiologist Knowledge Into MRI Quality Metrics for Machine Learning Using Rank-Based Ratings,Diagnostic accuracy / reader study,Denoising,Pixel-wise metrics (PSNR/SSIM/NRMSE);Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),3T,"it and fivefold cross-validation. FIELD STRENGTH/SEQUENCE: 1.5 T and 3 T T1, T1 postcontrast, T2, and FLuid Attenuated Inversion Recovery (FLA",T1w;T2w;FLAIR,Fully sampled acquisition,fastMRI;fastmri,yes,full text,2025 - Incorporating Radiologist Knowledge Into MRI Quality Metrics for Machine Learning Using Rank-Based Ratings. - PMID 39690114.md
S127,40545734,10.1002/nbm.70079,2025,NMR in biomedicine,Insights on Scan-Specific Deep-Learning Strategies for Brain MRI Parallel Imaging Reconstruction,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,Uncertainty estimation,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,3T,"ons, as well as in-­house separated-­mode ACS scans. For the latter, 3T (Vida, Siemens, Erlangen, Germany) brain raw data were used, and acq",T1w;T2w;FLAIR;SWI,Fully sampled acquisition,FastMRI;fastMRI;fastmri,not stated,full text,2025 - Insights on Scan-Specific Deep-Learning Strategies for Brain MRI Parallel Imaging Reconstruction. - PMID 40545734.md
S128,40112563,10.1016/j.compbiomed.2025.110005,2025,Computers in biology and medicine,Intersection-based slice motion estimation for fetal brain imaging,Algorithmic / methodological reconstruction study,Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,echo (HASTE) on three different Siemens scanners (Skyra and Spectra (3T) n=20 and SymphonyTim 13 ### Page 15 (1.5T) n=29). The data were pr,,Stated ground truth (unspecified),human connectome,yes,full text,2025 - Intersection-based slice motion estimation for fetal brain imaging. - PMID 40112563.md
S129,39834104,10.1002/mrm.30440,2025,Magnetic resonance in medicine,Learning-based motion artifact correction in the Z-spectral domain for chemical exchange saturation transfer MRI,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging;Denoising;Motion correction,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,"correction in terms of image quality and computational efficiency. At 3 T, human experiments showed that the root mean squared error (RMSE) of",T1w,Expert reader consensus,,not stated,full text,2025 - Learning-based motion artifact correction in the Z-spectral domain for chemical exchange saturation transfer MRI. - PMID 39834104.md
S130,39947682,10.3174/ajnr.a8566,2025,AJNR. American journal of neuroradiology,Leveraging Physics-Based Synthetic MR Images and Deep Transfer Learning for Artifact Reduction in Echo-Planar Imaging,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Generative (GAN/diffusion/VAE),Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs),3T,"ility distribu- tion and assuming a static magnetic field strength of 3T, the field map was calculated using the Fourier-based calculation met",T1w;T2w;FLAIR;DWI,Stated ground truth (unspecified),,not stated,full text,2025 - Leveraging Physics-Based Synthetic MR Images and Deep Transfer Learning for Artifact Reduction in Echo-Planar Imaging. - PMID 39947682.md
S131,39846325,10.1002/hbm.26806,2025,Human brain mapping,Measuring the effects of motion corruption in fetal fMRI,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,1.5T,"each fetus, structural and functional MR images were acquired using a 1.5 T clinical scanner (Philips Medical Systems, Best, Netherlands) with a",T2w,Stated ground truth (unspecified),,yes,full text,2025 - Measuring the effects of motion corruption in fetal fMRI. - PMID 39846325.md
S132,40691452,10.1038/s41598-025-08552-8,2025,Scientific reports,Modified energy-based GAN for intensity in homogeneity correction in brain MR images,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),Pixel-wise metrics (PSNR/SSIM/NRMSE),,not reported,,T1w;T2w,Stated ground truth (unspecified),,not stated,full text,2025 - Modified energy-based GAN for intensity in homogeneity correction in brain MR images. - PMID 40691452.md
S133,40309965,10.1002/hbm.70080,2025,Human brain mapping,Multi-Metric Approach for the Comparison of Denoising Techniques for Resting-State fMRI,Algorithmic / methodological reconstruction study,Denoising,,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,3T,"rwent a multimodal magnetic reso- nance imaging (MRI) session using a 3T Philips Achieva DStream scanner (Philips, Best, The Netherlands) equ",T1w;SWI,Not stated,human Connectome,not stated,full text,2025 - Multi-Metric Approach for the Comparison of Denoising Techniques for Resting-State fMRI. - PMID 40309965.md
S134,40679773,10.1007/s10334-025-01276-w,2025,"Magma (New York, N.Y.)",Myelin water imaging from accelerated 3D-GRASE acquisitions using subspace constrained reconstruction,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs),3T,"he ISMRM model 130 phantom [47]. The acquisition was performed with a 3.0 T clinical scanner (Discovery MR750, GE Healthcare, Waukesha, WI) with",DWI;SWI,Fully sampled acquisition,,not stated,full text,2025 - Myelin water imaging from accelerated 3D-GRASE acquisitions using subspace constrained reconstruction. - PMID 40679773.md
S135,,10.1007/978-3-031-72744-3_19,2025,Deep Generative Models,Non-reference Quality Assessment for Medical Imaging: Application to Synthetic Brain MRIs,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),,Artifacts (aliasing/ghosting/Gibbs);Hallucination / fidelity / instability;Geometric / anatomical distortion,1.5T,"ners (Siemens, GE, and Philips) operating at varying field strengths (1.5T and 3T). Specifically, the datasets include 503 high-quality (distort",T1w,Expert reader consensus,ADNI;BraTS;IXI;OASIS,not stated,full text,2025 - Non-reference Quality Assessment for Medical Imaging Application to Synthetic Brain MRIs - SPRINGER 10.1007_978-3-031-72744-3_19.md
S136,,10.1101/2025.04.30.651598,2025,bioRxiv,PW-GAN: Pseudo-Warping Field Guided GAN for Unsupervised Denoising of Fetal Brain MRI Images,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Self-supervised / unsupervised;Denoising;Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Geometric / anatomical distortion,1.5T,"rnity & Child Healthcare Hospital. The imaging was performed using a 1.5-Tesla Philips MRI scanner, with gestational ages ranging from 22 to 39 week",T2w,Stated ground truth (unspecified),,not stated,full text,2025 - PW-GAN Pseudo-Warping Field Guided GAN for Unsupervised Denoising of Fetal Brain MRI Images - SEMANTICSCHOLAR 7706fd322fa1042f26e416dd6f1014ce6c474f42.md
S137,40064110,10.1088/1361-6560/adbed4,2025,Physics in medicine and biology,Patient-specific MRI super-resolution via implicit neural representations and knowledge transfer,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Super-resolution,Perceptual / learned metrics,Artifacts (aliasing/ghosting/Gibbs);Hallucination / fidelity / instability;Robustness / distribution shift,3T,a public knee dataset. The knee dataset was acquired using a clinical 3T MRI scanner with the Coronal Proton Density (Coronal-PD) sequence [30,T1w;T2w,Stated ground truth (unspecified),BRATS;brats,yes,full text,2025 - Patient-specific MRI super-resolution via implicit neural representations and knowledge transfer. - PMID 40064110.md
S138,,10.1038/s41598-025-31958-3,2025,Scientific Reports,Probabilistic brain MR image transformation using generative models,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Denoising,Uncertainty estimation,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,not reported,,T1w;T2w;FLAIR,Stated ground truth (unspecified),BraTS;IXI;Ixi;OASIS;Oasis;brats;ixi,not stated,full text,2025 - Probabilistic brain MR image transformation using generative models - SPRINGER 10.1038_s41598-025-31958-3.md
S139,39780631,10.3348/kjr.2024.0653,2025,Korean journal of radiology,Prospective Evaluation of Accelerated Brain MRI Using Deep Learning-Based Reconstruction: Simultaneous Application to 2D Spin-Echo and 3D Gradient-Echo Sequences,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),3T,years). Each group of 50 participants was scanned using one of three 3T scanners from three different vendors. Conventional and Accel-DL MRI,T1w;T2w;FLAIR,Expert reader consensus,,not stated,full text,2025 - Prospective Evaluation of Accelerated Brain MRI Using Deep Learning-Based Reconstruction Simultaneous Application to 2D - PMID 39780631.md
S140,40312865,10.1002/mrm.30537,2025,Magnetic resonance in medicine,Quantitative susceptibility mapping in magnetically inhomogeneous tissues,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),,Artifacts (aliasing/ghosting/Gibbs),7T,", Gowland PA. Magnetization transfer phenomenon in the human brain at 7 T. Neuroimage. 2010;49:272-281. doi:10.1016/j.neuroimage.2009.08.022 57",T1w;SWI,Stated ground truth (unspecified),,yes,full text,2025 - Quantitative susceptibility mapping in magnetically inhomogeneous tissues. - PMID 40312865.md
S141,39589491,10.1007/s00247-024-06088-z,2025,Pediatric radiology,Rapid and motion-robust pediatric brain imaging: T2-weighted turbo-spin-echo PROPELLER acquisition with compressed sensing,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,3T,") undergoing a clinically indicated MRI examination of the brain on a 3-T scanner. The T2PROPELLER CS sequence was compared to a conventional,",T1w;T2w;FLAIR;DWI;SWI,Expert reader consensus,,not stated,full text,2025 - Rapid and motion-robust pediatric brain imaging T2-weighted turbo-spin-echo PROPELLER acquisition with compressed sensin - PMID 39589491.md
S142,40534142,10.1002/mrm.30604,2025,Magnetic resonance in medicine,"Rapid, high-resolution and distortion-free R 2 ∗ mapping of fetal brain using multi-echo radial FLASH and model-based reconstruction",Algorithmic / methodological reconstruction study,Physics-based / unrolled;Compressed sensing / parallel imaging,Uncertainty estimation,Motion degradation;Geometric / anatomical distortion;Robustness / distribution shift,3T,$$ {R}_2^{\ast } $$ and B 0 $$ {B}_0 $$ mapping of the fetal brain at 3 T. METHODS: A 2D multi-echo radial FLASH sequence with blip gradients,,Not stated,,not stated,abstract + MeSH only,"2025 - Rapid, high-resolution and distortion-free R 2 ∗ mapping of fetal brain using multi-echo radial FLASH and model-based re - PMID 40534142.md"
S143,40240759,10.1038/s41598-025-87224-z,2025,Scientific reports,Reliability assessment of accelerated MR sequences for the estimation of structural and vascular markers in dementia,Algorithmic / methodological reconstruction study,,Pixel-wise metrics (PSNR/SSIM/NRMSE),,3T,"markers will be assessed. Forty-six dementia patients underwent brain 3T MR protocol, including conventional and accelerated 3D T1w and 3D FLA",T1w;FLAIR;DWI;SWI,Stated ground truth (unspecified),ADNI,yes,full text,2025 - Reliability assessment of accelerated MR sequences for the estimation of structural and vascular markers in dementia. - PMID 40240759.md
S144,39316090,10.1007/s00234-024-03461-5,2025,Neuroradiology,Reliability of brain volume measures of accelerated 3D T1-weighted images with deep learning-based reconstruction,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,,3T,METHODS: This retrospective study collected 3D T1-weighted data using 3T from 42 participants for the simulated acceleration dataset and 48 fo,T1w,Expert reader consensus,,not stated,full text,2025 - Reliability of brain volume measures of accelerated 3D T1-weighted images with deep learning-based reconstruction. - PMID 39316090.md
